Anno;Codice Istat comune (numerico);Comune;Sesso;Popolazione a inizio anno;Nati vivi;Morti;Totale iscritti;Totale cancellati;Popolazione a fine anno;Popolazione media
1990;23001;Affi;Non rilevato;1.384;20;8;58;34;1.420;1.402
1990;23002;Albaredo d'Adige;Non rilevato;4.880;44;42;139;105;4.916;4.898
1990;23003;Angiari;Non rilevato;1.725;16;14;49;26;1.750;1.738
1990;23004;Arcole;Non rilevato;4.580;57;46;126;75;4.642;4.611
1990;23005;Badia Calavena;Non rilevato;2.154;22;12;46;40;2.170;2.162
1990;23006;Bardolino;Non rilevato;5.923;61;54;182;137;5.975;5.949
1990;23007;Belfiore;Non rilevato;2.611;14;17;56;43;2.621;2.616
1990;23008;Bevilacqua;Non rilevato;1.576;18;18;28;20;1.584;1.580
1990;23009;Bonavigo;Non rilevato;1.971;15;26;77;35;2.002;1.987
1990;23010;Boschi Sant'Anna;Non rilevato;1.269;11;10;23;18;1.275;1.272
1990;23011;Bosco Chiesanuova;Non rilevato;2.955;24;31;56;48;2.956;2.956
1990;23012;Bovolone;Non rilevato;12.924;119;100;233;231;12.945;12.935
1990;23013;Brentino Belluno;Non rilevato;1.264;14;5;17;11;1.279;1.272
1990;23014;Brenzone;Non rilevato;2.379;17;54;88;75;2.355;2.367
1990;23015;Bussolengo;Non rilevato;14.241;142;120;398;296;14.365;14.303
1990;23016;Buttapietra;Non rilevato;4.308;39;33;153;75;4.392;4.350
1990;23017;Caldiero;Non rilevato;4.795;64;36;144;126;4.841;4.818
1990;23018;Caprino Veronese;Non rilevato;7.049;53;83;178;86;7.111;7.080
1990;23019;Casaleone;Non rilevato;6.210;53;62;97;103;6.195;6.203
1990;23020;Castagnaro;Non rilevato;4.399;33;49;54;47;4.390;4.395
1990;23021;Castel d'Azzano;Non rilevato;9.167;121;54;252;288;9.198;9.183
1990;23022;Castelnuovo del Garda;Non rilevato;7.787;85;69;204;143;7.864;7.826
1990;23023;Cavaion Veronese;Non rilevato;3.437;40;28;133;88;3.494;3.466
1990;23024;Cazzano di Tramigna;Non rilevato;1.225;9;19;17;32;1.200;1.213
1990;23025;Cerea;Non rilevato;14.813;111;162;210;262;14.710;14.762
1990;23026;Cerro Veronese;Non rilevato;1.387;21;10;31;21;1.408;1.398
1990;23027;Cologna Veneta;Non rilevato;7.480;53;94;144;150;7.433;7.457
1990;23028;Colognola ai Colli;Non rilevato;6.547;78;52;216;151;6.638;6.593
1990;23029;Concamarise;Non rilevato;1.064;10;6;14;16;1.066;1.065
1990;23030;Costermano;Non rilevato;2.322;17;22;102;50;2.369;2.346
1990;23031;Dolcè;Non rilevato;2.130;16;24;73;61;2.134;2.132
1990;23032;Erbè;Non rilevato;1.597;18;18;33;22;1.608;1.603
1990;23033;Erbezzo;Non rilevato;783;11;19;18;8;785;784
1990;23034;Ferrara di Monte Baldo;Non rilevato;193;1;8;6;10;182;188
1990;23035;Fumane;Non rilevato;3.462;35;36;62;74;3.449;3.456
1990;23036;Garda;Non rilevato;3.468;24;49;96;83;3.456;3.462
1990;23037;Gazzo Veronese;Non rilevato;5.890;58;63;77;99;5.863;5.877
